Id,Frame,x (nm),y (nm),z (nm),sigmax_z0 (nm),sigmay_z0 (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,297.946517349946,2152.64969311569,-66.6671974144789,172.879068253624,165.793475964977,2400,500,0.5
2,1,3109.29894396732,2714.77051333501,-49.8900929510987,172.879068253624,165.793475964977,2400,500,0.5
3,1,1548.35193748367,648.880196164738,-211.292942834783,172.879068253624,165.793475964977,2400,500,0.5
4,1,776.072644793805,2467.62742896303,384.466049808942,172.879068253624,165.793475964977,2400,500,0.5
5,1,1699.59625538321,2659.51771433201,202.753338426058,172.879068253624,165.793475964977,2400,500,0.5
6,1,913.741553487356,1725.62260801145,-166.94428288783,172.879068253624,165.793475964977,2400,500,0.5
7,1,2760.41720656525,1191.88215630442,-166.69293050435,172.879068253624,165.793475964977,2400,500,0.5
8,1,131.520491074796,650.181709619152,179.533193842125,172.879068253624,165.793475964977,2400,500,0.5
9,1,346.712748642305,601.36210617595,3.52209451365428,172.879068253624,165.793475964977,2400,500,0.5
10,1,2454.91214537183,1035.85747619355,-367.811923627501,172.879068253624,165.793475964977,2400,500,0.5
11,1,164.57186842843,231.453993043513,8.1650888073541,172.879068253624,165.793475964977,2400,500,0.5
12,1,2482.29292366059,618.305830748051,-99.2693599106605,172.879068253624,165.793475964977,2400,500,0.5
13,1,29.2446163741193,2940.10019610668,201.118270044864,172.879068253624,165.793475964977,2400,500,0.5
14,1,1978.59876306187,1963.51255678408,176.143287076468,172.879068253624,165.793475964977,2400,500,0.5
15,1,2619.86986476307,119.260763291006,-338.827585062357,172.879068253624,165.793475964977,2400,500,0.5
16,1,2875.47431354085,877.275142536575,288.293640922137,172.879068253624,165.793475964977,2400,500,0.5
17,1,3153.95706161655,2314.56147321674,-351.807719870094,172.879068253624,165.793475964977,2400,500,0.5
18,1,1589.58375179763,2989.00153634042,127.277701857011,172.879068253624,165.793475964977,2400,500,0.5
19,1,1127.42056246526,1274.3138662856,-345.575531548425,172.879068253624,165.793475964977,2400,500,0.5
20,1,2774.67198231054,2294.53578943937,159.613872773643,172.879068253624,165.793475964977,2400,500,0.5
21,1,1270.02158631607,2609.48833500901,-100.858582245865,172.879068253624,165.793475964977,2400,500,0.5
22,1,2059.70310136544,97.40491670171,-236.420829329852,172.879068253624,165.793475964977,2400,500,0.5
23,1,65.4506021298925,2645.36549582387,231.556872411793,172.879068253624,165.793475964977,2400,500,0.5
24,1,2585.87053756608,1529.68222147825,385.320948047115,172.879068253624,165.793475964977,2400,500,0.5
25,1,1374.76256646131,898.33065726264,88.0360483167865,172.879068253624,165.793475964977,2400,500,0.5
26,1,1787.3488720099,1901.26165979568,-14.7786982005023,172.879068253624,165.793475964977,2400,500,0.5
27,1,2493.15612848126,202.166796513215,2.27859279148095,172.879068253624,165.793475964977,2400,500,0.5
28,1,1288.18279536566,534.71235649593,-355.005457222956,172.879068253624,165.793475964977,2400,500,0.5
29,1,2905.58373731481,1708.43410288573,-355.48874225343,172.879068253624,165.793475964977,2400,500,0.5
30,1,2079.90275515714,1866.10997642221,-205.05478633545,172.879068253624,165.793475964977,2400,500,0.5
31,1,2327.27112688225,720.93775305896,-309.150215364977,172.879068253624,165.793475964977,2400,500,0.5
32,1,2494.59532795132,2387.65394871265,-81.2432513446677,172.879068253624,165.793475964977,2400,500,0.5
33,1,1122.32783256234,2449.42455550394,-233.263560080319,172.879068253624,165.793475964977,2400,500,0.5
34,1,62.9117449597473,1131.99771684494,58.7208899417553,172.879068253624,165.793475964977,2400,500,0.5
35,1,1147.38742249427,1903.55005328867,36.7430368494348,172.879068253624,165.793475964977,2400,500,0.5
36,1,970.321444316205,3133.24425108042,-362.322494969854,172.879068253624,165.793475964977,2400,500,0.5
37,1,2940.9983749801,928.217278644885,196.991165929757,172.879068253624,165.793475964977,2400,500,0.5
38,1,810.870175756902,2000.44719761646,-397.842679897504,172.879068253624,165.793475964977,2400,500,0.5
39,1,771.695267920792,1020.46170832546,280.470262660614,172.879068253624,165.793475964977,2400,500,0.5
40,1,2911.75407129651,2955.3034181945,85.2849856248079,172.879068253624,165.793475964977,2400,500,0.5
41,1,2485.80912152201,1487.52442183615,322.406625714156,172.879068253624,165.793475964977,2400,500,0.5
42,1,1375.25080630612,2753.23590709836,-247.333304425667,172.879068253624,165.793475964977,2400,500,0.5
