No,Frame,Emitter,x (nm),y (nm),sigma (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,17,1798.0604454477,1552.34811098944,97.9778976134678,3000,500,8
2,1,26,3093.97046246876,1894.00830442561,97.9778976134678,3000,500,8
3,1,51,543.870529559008,161.552244745363,97.9778976134678,3000,500,8
4,1,62,1912.22762658047,1857.86068287381,97.9778976134678,3000,500,8
5,1,74,1498.15339830583,2101.3663099132,97.9778976134678,3000,500,8
6,1,75,855.885777145817,1942.53328688919,97.9778976134678,3000,500,8
7,1,89,2728.48508335284,2016.63389396184,97.9778976134678,3000,500,8
8,1,90,299.17225673355,2220.95108859276,97.9778976134678,3000,500,8
9,1,96,3118.30769389993,1728.4696638073,97.9778976134678,3000,500,8
10,1,104,1386.03978418979,1770.91971578565,97.9778976134678,3000,500,8
11,1,105,1036.21514623241,2797.03032730761,97.9778976134678,3000,500,8
12,1,106,2054.52626340008,2043.13166434982,97.9778976134678,3000,500,8
13,1,116,179.424471101382,3034.99550133723,97.9778976134678,3000,500,8
14,1,135,1845.45531156488,1314.67807845221,97.9778976134678,3000,500,8
15,1,137,2167.17412364029,881.004138830301,97.9778976134678,3000,500,8
16,1,164,3097.50175984505,1873.5536908084,97.9778976134678,3000,500,8
17,1,172,2192.02183353358,2680.33428694888,97.9778976134678,3000,500,8
18,1,174,508.257594399103,2372.10425954696,97.9778976134678,3000,500,8
19,1,199,685.993520697037,1996.14046525158,97.9778976134678,3000,500,8
20,1,202,2637.91242423732,2212.48662511526,97.9778976134678,3000,500,8
21,1,213,1696.5301117589,1520.66111579824,97.9778976134678,3000,500,8
22,1,218,1417.80991412693,936.331374184226,97.9778976134678,3000,500,8
23,1,225,765.625179955887,860.110199120205,97.9778976134678,3000,500,8
24,1,232,211.475194986622,2563.23464332205,97.9778976134678,3000,500,8
25,1,251,922.575914418401,2658.82252749601,97.9778976134678,3000,500,8
26,1,260,2622.74671505402,1835.69704299353,97.9778976134678,3000,500,8
27,1,265,1084.56412444732,1271.97459747747,97.9778976134678,3000,500,8
28,1,266,140.308810424144,1666.46454625536,97.9778976134678,3000,500,8
29,1,271,2464.81643464968,2968.32641188253,97.9778976134678,3000,500,8
30,1,276,1650.17276527805,811.970406862973,97.9778976134678,3000,500,8
31,1,285,3067.50386469793,2547.24175098058,97.9778976134678,3000,500,8
32,1,289,1986.46583347848,1488.53324501048,97.9778976134678,3000,500,8
33,1,295,1232.51283664136,3060.29455772203,97.9778976134678,3000,500,8
34,1,298,2013.31541314715,1721.58628372933,97.9778976134678,3000,500,8
35,1,311,2713.43353109033,2309.84472383406,97.9778976134678,3000,500,8
36,1,317,2006.72731861498,2782.87046198712,97.9778976134678,3000,500,8
37,1,325,2286.52202650492,2950.51814736727,97.9778976134678,3000,500,8
38,1,327,2468.75990678562,2343.74584138341,97.9778976134678,3000,500,8
39,1,329,2180.09738773787,74.3245169052567,97.9778976134678,3000,500,8
40,1,331,2210.78548874888,59.3011792347134,97.9778976134678,3000,500,8
41,1,333,2095.82700164624,1616.85957488306,97.9778976134678,3000,500,8
42,1,335,1566.14338426142,636.689573601139,97.9778976134678,3000,500,8
43,1,355,1708.93559627309,2631.25215354272,97.9778976134678,3000,500,8
44,1,371,2631.89916505461,2588.50643002407,97.9778976134678,3000,500,8
45,1,372,1887.33200066703,1339.34321012338,97.9778976134678,3000,500,8
46,1,390,2239.43488545604,2455.55619181549,97.9778976134678,3000,500,8
47,1,395,1913.38317039069,1286.84842729084,97.9778976134678,3000,500,8
48,1,398,993.309012899819,498.783094934131,97.9778976134678,3000,500,8
49,1,403,2523.307363717,929.711995724057,97.9778976134678,3000,500,8
50,1,409,1045.98212798508,730.957488154911,97.9778976134678,3000,500,8
51,1,416,1933.43631549467,3140.21478915251,97.9778976134678,3000,500,8
52,1,447,285.94572881496,2178.1629795753,97.9778976134678,3000,500,8
53,1,471,1181.49630933242,2728.75738670296,97.9778976134678,3000,500,8
54,1,480,274.894630513758,511.961496271442,97.9778976134678,3000,500,8
55,1,481,416.755714149158,2494.21727049439,97.9778976134678,3000,500,8
56,1,493,1295.28612725259,3048.95606321111,97.9778976134678,3000,500,8
57,1,502,2157.21188570438,1162.07382921351,97.9778976134678,3000,500,8
58,1,504,2306.44807413684,1878.85004992197,97.9778976134678,3000,500,8
59,1,512,2614.18822277576,158.897134987317,97.9778976134678,3000,500,8
60,1,528,1602.88532835316,1913.02567484078,97.9778976134678,3000,500,8
61,1,550,2269.92089400712,2210.12518975024,97.9778976134678,3000,500,8
62,1,603,755.029056555705,1799.38908783766,97.9778976134678,3000,500,8
63,1,610,351.158056103127,620.400135148301,97.9778976134678,3000,500,8
64,1,614,1974.62033036868,3166.21793034523,97.9778976134678,3000,500,8
65,1,626,1619.93656101053,91.8288357506139,97.9778976134678,3000,500,8
66,1,653,2836.22063332576,1294.83259413776,97.9778976134678,3000,500,8
67,1,654,2955.00794930795,2171.49508352793,97.9778976134678,3000,500,8
68,1,667,621.391628903263,2571.50501901804,97.9778976134678,3000,500,8
