No,Frame,Emitter,x (nm),y (nm),z (nm),sigmax_z0 (nm),sigmay_z0 (nm),Intensity (photons),Offset (photons),BkgSD (photons)
1,1,23,179.216936235191,1074.40594583581,-55.4804696778926,172.879068253624,165.793475964977,2400,500,0.5
2,1,28,933.535269958114,2866.23542340757,187.74448592752,172.879068253624,165.793475964977,2400,500,0.5
3,1,34,1529.63838655258,1872.58507262857,187.896461184434,172.879068253624,165.793475964977,2400,500,0.5
4,1,36,2937.55039213541,1985.90354148009,-291.203841072938,172.879068253624,165.793475964977,2400,500,0.5
5,1,39,1480.21506352957,25.6880713088943,-338.787477320974,172.879068253624,165.793475964977,2400,500,0.5
6,1,49,2562.76608981033,1563.04066887866,-184.996662392247,172.879068253624,165.793475964977,2400,500,0.5
7,1,74,767.062265686298,1391.14869895866,-146.836849310835,172.879068253624,165.793475964977,2400,500,0.5
8,1,75,2351.33762505001,2113.27678959576,-323.759349132815,172.879068253624,165.793475964977,2400,500,0.5
9,1,115,2741.82483086368,88.6279854312257,397.802381594244,172.879068253624,165.793475964977,2400,500,0.5
10,1,152,1092.8277746058,630.68748292328,167.32453448455,172.879068253624,165.793475964977,2400,500,0.5
11,1,156,2953.08005158605,3067.3275383771,386.63640256002,172.879068253624,165.793475964977,2400,500,0.5
12,1,161,2499.07063558037,71.1851830459864,135.627204756253,172.879068253624,165.793475964977,2400,500,0.5
13,1,165,404.447213944413,628.132361678405,-245.577773986595,172.879068253624,165.793475964977,2400,500,0.5
14,1,166,334.440916394523,2920.74707235971,-27.2801975264621,172.879068253624,165.793475964977,2400,500,0.5
15,1,215,2691.57052848873,834.137687970186,29.6768864711566,172.879068253624,165.793475964977,2400,500,0.5
16,1,270,1729.27070424317,1921.25439571258,-186.711684490977,172.879068253624,165.793475964977,2400,500,0.5
17,1,282,1538.24337172929,106.435502013683,-319.399377137938,172.879068253624,165.793475964977,2400,500,0.5
18,1,288,828.775143637886,1069.37499074711,-45.4691883756452,172.879068253624,165.793475964977,2400,500,0.5
19,1,293,2571.32857307362,963.389716609029,78.3291418094362,172.879068253624,165.793475964977,2400,500,0.5
20,1,315,884.027325403231,906.720974610614,-195.127374109766,172.879068253624,165.793475964977,2400,500,0.5
21,1,322,2591.57642000507,3191.60719518564,-289.609587256644,172.879068253624,165.793475964977,2400,500,0.5
22,1,323,3145.51495568701,1850.92057263344,-377.450441024603,172.879068253624,165.793475964977,2400,500,0.5
23,1,324,683.4442874466,1638.48805449838,52.870115426698,172.879068253624,165.793475964977,2400,500,0.5
24,1,356,1554.22125549163,1395.88299602558,-257.258884677274,172.879068253624,165.793475964977,2400,500,0.5
25,1,360,1916.66294180325,1836.16022267632,-293.642661922441,172.879068253624,165.793475964977,2400,500,0.5
26,1,373,156.108615163383,2755.7470250801,186.64649500482,172.879068253624,165.793475964977,2400,500,0.5
27,1,385,1507.16195459708,1141.72207069621,-270.057597789975,172.879068253624,165.793475964977,2400,500,0.5
28,1,391,493.002498265956,632.023297528197,300.047989815062,172.879068253624,165.793475964977,2400,500,0.5
29,1,415,2155.48207279273,1566.51943745875,107.486880616671,172.879068253624,165.793475964977,2400,500,0.5
30,1,418,92.5956099330904,2849.58420013632,398.937212148202,172.879068253624,165.793475964977,2400,500,0.5
31,1,421,1373.62193357566,1499.20062470235,-216.144959917224,172.879068253624,165.793475964977,2400,500,0.5
32,1,435,283.8988703432,3042.31011838168,59.0274816705868,172.879068253624,165.793475964977,2400,500,0.5
33,1,459,2260.29208684699,816.90565070136,88.0464369703058,172.879068253624,165.793475964977,2400,500,0.5
34,1,482,753.126269696342,1174.65051259874,48.3913523221036,172.879068253624,165.793475964977,2400,500,0.5
35,1,491,1125.41495166096,1755.3670880915,-192.570149386535,172.879068253624,165.793475964977,2400,500,0.5
36,1,514,77.756790749239,1470.35156863758,-98.5164171779911,172.879068253624,165.793475964977,2400,500,0.5
37,1,531,639.346334458044,1205.06871492402,-17.1987735404068,172.879068253624,165.793475964977,2400,500,0.5
38,1,532,1414.63729884282,2055.93710183173,-160.689073086579,172.879068253624,165.793475964977,2400,500,0.5
39,1,533,199.930270614467,3076.00558909994,183.990395842233,172.879068253624,165.793475964977,2400,500,0.5
40,1,540,1239.48326693019,1399.12071076461,399.230157775652,172.879068253624,165.793475964977,2400,500,0.5
41,1,546,2077.3917523463,1969.08839763199,-15.5746214521598,172.879068253624,165.793475964977,2400,500,0.5
42,1,554,1875.85920965778,403.107619988128,67.6015450489032,172.879068253624,165.793475964977,2400,500,0.5
43,1,577,936.950895475821,598.793929781814,378.835186138312,172.879068253624,165.793475964977,2400,500,0.5
44,1,588,3103.94886925911,67.4246842255915,204.716700148989,172.879068253624,165.793475964977,2400,500,0.5
45,1,598,2541.53023837577,1420.17055758247,-8.05740126560875,172.879068253624,165.793475964977,2400,500,0.5
46,1,602,2553.19913019609,3075.01431662846,-189.74561327557,172.879068253624,165.793475964977,2400,500,0.5
47,1,604,2115.62363288396,985.015509052546,2.14843243770986,172.879068253624,165.793475964977,2400,500,0.5
48,2,23,179.216936235191,1074.40594583581,-55.4804696778926,172.879068253624,165.793475964977,2400,500,0.5
49,2,28,933.535269958114,2866.23542340757,187.74448592752,172.879068253624,165.793475964977,2400,500,0.5
50,2,36,2937.55039213541,1985.90354148009,-291.203841072938,172.879068253624,165.793475964977,2400,500,0.5
51,2,49,2562.76608981033,1563.04066887866,-184.996662392247,172.879068253624,165.793475964977,2400,500,0.5
52,2,74,767.062265686298,1391.14869895866,-146.836849310835,172.879068253624,165.793475964977,2400,500,0.5
53,2,75,2351.33762505001,2113.27678959576,-323.759349132815,172.879068253624,165.793475964977,2400,500,0.5
54,2,156,2953.08005158605,3067.3275383771,386.63640256002,172.879068253624,165.793475964977,2400,500,0.5
55,2,161,2499.07063558037,71.1851830459864,135.627204756253,172.879068253624,165.793475964977,2400,500,0.5
56,2,165,404.447213944413,628.132361678405,-245.577773986595,172.879068253624,165.793475964977,2400,500,0.5
57,2,166,334.440916394523,2920.74707235971,-27.2801975264621,172.879068253624,165.793475964977,2400,500,0.5
58,2,215,2691.57052848873,834.137687970186,29.6768864711566,172.879068253624,165.793475964977,2400,500,0.5
59,2,237,2638.82380931108,1490.082247658,299.512128771392,172.879068253624,165.793475964977,2400,500,0.5
60,2,270,1729.27070424317,1921.25439571258,-186.711684490977,172.879068253624,165.793475964977,2400,500,0.5
